id,currency,date,open,high,low,close,active
1988,GNF,1978-05-01,15708,5241,15159,4595,True
1989,RWF,1992-04-09,13630,20423,23998,13051,True
1990,ALL,2013-04-25,20594,20277,23925,6247,True
1991,LKR,1987-02-16,23177,7324,17769,3360,False
1992,THB,1995-07-18,19635,20791,3200,9810,True
1993,ERN,2002-02-07,21489,17199,4914,21022,True
1994,EGP,1973-01-16,4321,3561,16133,535,False
1995,UGX,1988-05-25,22396,15330,19022,15094,True
1996,GTQ,1972-07-31,7682,20306,1301,2263,True
1997,KZT,1988-06-16,13615,16690,3140,1518,True
1998,SPL,2004-05-05,2894,14633,23431,16533,True
1999,MKD,1975-08-09,586,23602,5348,15204,True
2000,AFN,1994-01-31,3272,20381,21487,11552,True
2001,KES,1992-04-18,15390,7354,22933,9253,True
2002,HKD,1986-12-28,22177,1674,7312,9993,False
2003,AMD,1982-03-09,2212,1689,14469,8212,True
2004,AZN,1989-05-21,21547,15729,16518,8288,True
2005,CNY,2013-05-08,18877,5952,14976,6104,False
2006,BIF,1977-06-28,3940,7994,107,12540,True
2007,QAR,2021-07-30,1628,7829,6031,5564,False
2008,AZN,2018-12-23,13227,22145,4003,22439,True
2009,SRD,1979-02-10,22132,22075,8327,8325,False
2010,NIO,2008-12-26,813,10869,20542,5241,False
2011,BGN,1993-02-15,151,2001,18399,20056,False
2012,PEN,2006-09-07,18863,2237,15725,15369,False
2013,DZD,2011-01-17,13187,1140,1558,3605,True
2014,MRO,1994-11-17,9650,7048,20602,21866,True
2015,CUC,2011-06-11,7666,8621,21161,9849,True
2016,ANG,1976-10-21,5020,16710,15985,21498,True
2017,LTL,1991-04-25,10939,9556,22958,14676,False
2018,GMD,2005-03-05,7920,20181,12412,9579,False
2019,SCR,2008-10-13,19993,7696,20900,5180,False
2020,ETB,1993-05-29,18272,6980,10932,4297,True
2021,FJD,1993-12-29,13028,4312,7206,4144,False
2022,LBP,1980-11-07,15949,17693,21955,8224,True
2023,ALL,1981-09-10,17070,12736,15241,16169,True
2024,XCD,1994-11-04,15937,21371,11306,7802,True
2025,BWP,1994-11-22,21984,16422,942,18952,True
2026,LTL,1970-06-25,10380,8684,15323,13942,False
2027,HRK,2000-11-06,13465,1437,16221,9010,True
2028,BND,1975-02-04,12268,878,12743,7346,True
2029,TOP,1985-04-16,10992,6390,18446,22988,False
2030,DJF,1992-06-03,6019,12220,8665,16121,False
2031,AOA,1970-01-14,12215,2314,20182,2579,True
2032,DZD,2001-08-13,3146,10524,22497,23915,False
2033,GNF,1975-08-19,13439,19307,487,7715,True
2034,BTN,2006-06-10,22114,3802,6889,9541,True
2035,LAK,2011-08-10,8808,13155,4211,1661,False
2036,KYD,2019-04-25,1940,15135,8900,3169,False
2037,HRK,1978-04-26,2702,4314,5999,4657,True
2038,KRW,1982-05-11,17902,11472,2098,7719,True
2039,SHP,1974-11-07,20371,10538,4487,5059,True
2040,SCR,2022-03-24,8787,19073,21127,4361,True
2041,LAK,2018-01-24,1482,12280,9485,11452,True
2042,MGA,2018-10-21,21701,13263,1247,6484,False
2043,RUB,1991-09-09,2647,8771,23488,3612,True
2044,CVE,1983-01-07,16426,9676,12491,18871,True
2045,LYD,2007-09-11,5702,4016,20891,22330,True
2046,DJF,2011-04-04,6606,5916,18730,2222,True
2047,CZK,1988-12-22,16706,10862,1374,8819,True
2048,XAF,2004-02-12,20752,16050,647,7630,True
2049,DKK,1996-10-04,18520,16058,7865,1832,True
2050,IRR,2017-04-30,19501,20437,5720,2529,True
2051,NIO,1975-02-17,23360,19001,5542,10128,True
2052,BRL,1976-02-26,1480,4697,16095,2473,True
2053,BZD,2015-01-11,4319,19737,9305,13159,True
2054,GEL,2020-03-10,14960,1342,13771,1465,True
2055,ALL,2014-05-29,22849,14935,2108,17115,True
2056,RON,2007-03-31,13305,15165,1018,20913,True
2057,TND,1970-05-31,7796,15684,13454,12669,False
2058,SCR,2005-10-04,203,10090,13195,13297,False
2059,BDT,2015-12-01,7909,17026,1236,123,True
2060,LBP,1978-06-22,9362,13181,21717,1931,False
2061,GHS,1992-10-17,14581,20897,3443,6955,False
2062,JOD,1984-10-29,3710,7035,6941,11019,True
2063,JPY,1973-02-02,7130,14663,21075,18480,True
2064,MVR,2009-09-10,5287,10536,1780,7860,True
2065,RUB,1987-11-25,21176,8802,5108,18359,False
2066,RON,1995-03-26,19718,7588,19357,9404,False
2067,KYD,1977-12-12,18617,3556,6856,9464,False
2068,CZK,1987-06-05,3298,661,16614,10911,True
2069,BSD,2013-05-22,2127,5783,13640,15177,True
2070,CUC,1978-09-25,21449,19339,18822,10670,True
2071,XOF,2007-12-13,3393,16169,12997,6416,True
2072,HUF,1978-05-12,3510,23777,11266,23700,True
2073,NGN,2002-03-13,7953,22909,13526,4124,True
2074,ALL,1978-01-26,23832,22296,19908,4137,True
2075,SBD,1998-03-17,16673,2215,8916,17887,True
2076,BND,2014-11-30,18528,9611,10213,9642,True
2077,CVE,2005-07-02,12380,16733,8389,13281,True
2078,BAM,1980-08-07,8501,1835,7349,11778,False
2079,RUB,2023-02-06,4703,19816,16771,14195,True
2080,LTL,1989-05-12,12659,242,9376,2779,False
2081,IQD,2020-03-11,5219,23888,12475,18012,False
2082,BND,1970-04-25,10798,14725,17936,244,False
2083,ANG,2022-03-07,16845,5091,10416,4731,False
2084,BAM,1984-06-17,15763,15578,14777,21279,True
2085,XPF,2003-04-15,20716,6067,18983,2996,True
2086,BMD,1970-11-13,4998,21640,9598,12318,True
2087,KZT,2008-09-20,8912,3873,21279,2506,False
2088,ZAR,1998-12-23,20055,15682,5933,474,True
2089,XOF,2014-12-13,23437,15339,19744,9927,False
2090,THB,1990-01-28,5987,7227,6816,15252,True
2091,GTQ,2013-07-15,2793,10997,11623,20146,True
2092,NIO,1994-02-10,22060,18575,10667,11386,True
2093,MAD,2009-01-20,22794,18315,9222,17498,False
2094,PEN,1983-03-25,4796,10171,593,3846,True
2095,ISK,2010-01-24,8216,1193,18604,21570,True
2096,MNT,2022-12-13,3630,2148,10134,20485,True
2097,AMD,2008-07-31,14562,8817,23906,4061,True
2098,AOA,1979-07-10,13980,12445,11841,20248,False
2099,ANG,2001-05-02,633,19445,5826,5772,False
2100,VUV,1982-04-11,19329,15612,21464,9372,True
2101,ISK,1994-05-29,8922,13609,16332,4223,True
2102,CUP,1999-01-09,1397,10044,20959,13903,True
2103,JOD,1993-10-17,21408,11213,19070,18960,True
2104,SVC,1973-09-01,9612,13769,20003,8865,False
2105,KHR,1990-09-06,21111,5995,20848,4497,True
2106,ANG,1997-07-15,13332,11356,20549,17641,True
2107,SGD,1989-10-22,11265,3717,21370,3225,True
2108,OMR,1989-05-10,22970,6140,9076,6920,True
2109,MMK,1988-06-03,9683,16146,21303,20711,True
2110,ALL,2014-02-02,10103,1822,19305,12707,False
2111,FJD,2018-10-18,5597,13903,21608,17744,True
2112,AZN,2000-07-17,20060,3717,8555,16939,False
2113,KHR,2017-09-01,13992,8749,6884,74,True
2114,ETB,1972-10-09,17228,1686,12346,17321,True
2115,BBD,2003-07-02,9124,18445,211,20343,False
2116,ALL,1979-08-28,13869,11994,14481,10355,True
2117,ALL,1973-11-08,13953,8239,22814,13079,True
2118,ZMW,2017-03-08,19149,1843,18046,3051,True
2119,GTQ,2019-10-09,6436,13108,10497,10122,True
2120,SEK,2019-11-08,4137,21264,6786,22984,True
2121,UYU,1980-10-31,19808,6998,13765,13478,True
2122,SRD,2000-07-12,9419,15955,3018,2803,False
2123,DKK,1992-10-02,22160,17885,5249,15131,False
2124,MOP,2013-12-28,23796,21906,10312,3355,True
2125,GMD,1989-01-23,9093,22298,20928,19584,True
2126,GYD,1995-09-15,17494,10947,23411,10647,True
2127,SAR,1995-03-15,2835,34,6189,15567,False
2128,VUV,1995-04-30,15348,12025,15186,8732,True
2129,CAD,1989-12-05,8171,3608,19814,14938,True
2130,AZN,1993-06-04,11963,371,19740,6202,False
2131,FKP,2017-12-23,6987,18209,23615,5034,False
2132,SHP,1970-10-17,9518,5757,10428,14669,False
2133,LAK,1998-10-29,6335,7325,9150,11780,False
2134,BRL,1971-06-10,22527,19966,18831,5537,True
2135,BOB,1979-10-06,17318,21155,4977,13557,False
2136,MKD,1997-10-14,1576,3311,13383,14760,True
2137,CRC,1975-12-30,6754,22391,1907,10040,True
2138,GBP,1978-12-08,2939,18028,23326,14138,True
2139,SLL,2004-04-18,10418,14927,22952,7171,False
2140,BGN,1986-04-24,5858,6423,3146,13488,False
2141,HRK,1973-05-02,18883,19552,11056,22899,True
2142,BND,1983-11-15,6061,11959,2281,5117,True
2143,GGP,1996-08-18,22645,8131,17591,1933,False
2144,MRO,1994-06-22,10904,4438,6142,19654,True
2145,CUP,2001-07-30,15530,5996,20787,12376,False
2146,RWF,1987-06-19,12264,8491,10657,16999,True
2147,KHR,2022-05-25,185,8211,9853,22247,True
2148,TVD,2022-10-11,3113,1165,2275,9260,False
2149,ARS,2010-02-17,4460,79,917,17900,True
2150,ILS,1980-07-16,15185,18824,21605,11565,False
2151,TOP,2012-07-14,3016,4797,2723,3491,False
2152,EUR,2010-03-27,13993,14130,19432,13705,True
2153,CAD,1970-09-16,15647,21037,2114,2775,True
2154,GYD,1983-03-08,9061,14006,6381,15183,True
2155,UAH,2023-03-20,9727,1961,16459,775,True
2156,KES,2016-09-17,21217,5395,11453,15033,True
2157,TND,2019-02-24,15925,19630,23971,8440,True
2158,BGN,2009-05-01,2066,19615,8206,4989,True
2159,BRL,2005-10-08,8712,8125,23166,4934,True
2160,CZK,1979-03-05,8307,1104,21185,8812,True
2161,LYD,1983-01-21,7883,17054,7862,2021,True
2162,BGN,2000-03-05,9612,13059,15605,3826,True
2163,SVC,1973-09-22,8359,16332,18524,10048,True
2164,JEP,1970-06-28,11564,11748,16207,20674,True
2165,SEK,1974-11-15,7676,13470,13528,3675,False
2166,HNL,1984-09-13,12428,23877,3166,16675,True
2167,CDF,2010-08-07,19398,10133,640,18550,True
2168,KGS,1993-07-31,12206,14326,22449,12477,True
2169,GBP,2005-12-19,2759,15291,11078,21452,False
2170,LRD,1999-11-24,19590,3077,17822,7630,True
2171,SRD,1976-11-01,16142,7535,15212,19767,True
2172,BRL,2007-01-24,5233,20755,16903,609,False
2173,LRD,1976-04-15,9251,14751,3699,15979,True
2174,CAD,2008-09-26,4488,2553,19378,9925,False
2175,XOF,1986-06-21,15859,17151,19155,8358,False
2176,NAD,2021-06-15,17017,6223,13214,21697,False
2177,KMF,1974-03-01,10697,9027,5618,2434,False
2178,BIF,2016-10-22,1039,14377,15536,15106,True
2179,DKK,1985-04-03,8830,15865,19199,18723,True
2180,UZS,1992-08-29,10763,19222,22783,7926,False
2181,GIP,2003-04-09,5066,21247,10486,13672,True
2182,RWF,2021-03-11,18175,21225,2578,19211,False
2183,BBD,2008-05-26,2048,20564,22522,16668,True
2184,ERN,1990-11-13,16379,15037,11469,7630,True
2185,MZN,1997-01-31,3788,11736,5612,12966,True
2186,LRD,2010-01-01,9798,8158,13982,9871,True
2187,TVD,2012-01-08,16458,16592,16964,2765,True
2188,HNL,2006-09-08,8406,10154,8716,8181,False
2189,XOF,2013-02-07,2197,8406,12751,6271,True
2190,HTG,1991-09-30,16705,835,5051,14231,True
2191,CAD,1980-06-01,18076,12517,13158,11310,True
2192,USD,1976-04-09,14315,7016,17716,4872,True
2193,JOD,2002-10-08,6337,22888,16908,19395,True
2194,VEF,1991-10-23,3600,5687,3197,3287,False
2195,KYD,1989-03-03,11270,13885,2100,4332,True
2196,SOS,2003-01-16,14386,3849,11461,11481,False
2197,DOP,2023-04-08,4654,19741,1619,17662,True
2198,MYR,1973-05-30,12701,841,20428,15829,False
2199,HTG,1970-07-19,1781,12124,19275,22188,False
2200,BAM,2009-03-17,13407,23899,14926,18959,True
2201,BND,1978-03-05,9193,1093,15538,20852,False
2202,GIP,2001-04-05,16257,9470,11262,2230,True
2203,HKD,2021-01-25,17237,23432,14364,7868,False
2204,TND,2019-04-20,22459,9076,7075,19209,True
2205,COP,1999-03-28,7645,2373,13755,253,True
2206,MWK,1971-03-27,13274,1723,13807,21518,False
2207,BGN,1983-08-15,5903,2446,23729,3583,True
2208,AMD,1974-03-23,10737,16326,2196,10732,False
2209,VUV,1972-10-31,1649,6906,15774,18254,True
2210,PHP,2020-11-23,23651,23340,20932,15266,False
2211,MWK,2001-02-13,12484,2667,530,16481,True
2212,BHD,1998-07-03,8096,2029,17576,15170,False
2213,AZN,2020-06-14,4759,14595,16955,10876,True
2214,NZD,2015-08-17,23554,12621,6550,14526,True
2215,AMD,1991-01-03,21415,15184,8366,19125,True
2216,XAF,2014-08-29,17221,14953,6563,7492,False
2217,LSL,1978-09-04,19490,21184,20635,8365,True
2218,AZN,1997-09-29,16302,5065,544,2723,True
2219,XAF,1995-11-26,18918,5629,790,2494,True
2220,PAB,1976-12-28,2128,19818,2782,21114,True
2221,SRD,1995-06-03,20724,17419,17766,6130,True
2222,THB,1989-06-23,7086,18838,21828,18550,True
2223,GYD,1977-01-10,11921,17622,19659,6113,True
2224,LKR,2004-11-25,14452,9468,8225,14639,True
2225,UGX,1989-07-31,3373,14060,2908,8869,False
2226,DOP,2017-08-17,22394,11642,15528,17897,False
2227,WST,1970-03-03,19853,15433,23043,18764,True
2228,BIF,2007-06-19,12256,16346,3815,6530,True
2229,RON,1998-09-08,6067,22380,16996,9641,False
2230,CUC,2005-10-06,4309,5105,11295,12806,True
2231,RWF,2022-11-17,3229,8225,23841,17295,False
2232,SCR,1982-04-06,12532,11394,18681,17553,False
2233,ETB,1992-10-25,1841,23442,13896,5218,True
2234,CVE,1987-08-01,13281,10447,13211,16804,True
2235,ISK,1977-01-25,6781,2476,18585,9141,True
2236,MGA,1987-08-09,4938,21486,9322,20617,False
2237,HUF,1982-01-21,1556,1517,12019,5100,True
2238,SPL,1991-02-23,2119,21177,12360,2034,True
2239,SAR,2015-07-22,1827,19057,15264,15802,True
2240,HNL,2016-05-16,20713,11408,17281,22200,True
2241,CLP,1990-02-13,9030,16504,6154,18092,True
2242,JOD,1976-04-20,14458,2119,12256,20433,False
2243,ZAR,1976-10-04,8342,6195,11629,4726,True
2244,XOF,1984-10-13,1799,5624,1837,17511,False
2245,XCD,2001-03-23,10569,15491,3039,8729,True
2246,ANG,1985-03-30,22365,23936,10081,2680,True
2247,UAH,2006-03-25,3088,3804,17473,17995,False
2248,ZMW,2010-04-28,11794,1545,14761,16342,False
2249,ZWD,1973-03-06,6355,363,20500,3975,True
2250,QAR,1975-11-24,11372,19377,16712,22431,True
2251,SLL,1990-02-25,1955,14146,1841,6380,True
2252,TZS,2010-01-03,14975,16571,15936,19564,False
2253,TTD,1980-01-22,22420,5439,617,9601,False
2254,EGP,2009-05-10,3238,19880,15632,23175,True
2255,MVR,2011-05-04,18638,6689,14024,1204,False
2256,MMK,2002-12-23,8327,18451,22414,1499,True
2257,JEP,2014-12-19,16606,789,17908,23419,True
2258,CDF,1993-04-25,9075,10185,10799,8478,False
2259,VEF,2017-11-30,7497,7820,9293,5926,False
2260,LKR,2015-08-15,9180,2646,17926,22438,False
2261,BBD,1986-11-28,11067,4439,14131,21175,False
2262,YER,1985-05-19,19531,13566,14126,17436,False
2263,TVD,2000-09-19,22060,5113,6643,17596,False
2264,ZWD,2021-12-02,1424,7126,18398,7119,False
2265,GGP,1970-11-10,1614,16889,9330,16575,True
2266,GIP,1995-01-27,5410,10297,17607,11678,False
2267,BWP,2007-03-11,20094,3249,2797,17494,True
2268,XCD,1989-07-15,21994,20884,4819,23827,False
2269,CDF,1975-12-15,4589,10566,23385,4124,False
2270,USD,2001-10-25,17090,1264,12099,3173,True
2271,LBP,1988-03-06,2559,138,7256,19344,False
2272,UGX,2017-06-27,7464,638,5762,2863,False
2273,CRC,2006-12-16,7625,2860,22991,22252,True
2274,LYD,1978-02-27,8613,17898,1730,21058,True
2275,VND,2010-03-30,9312,4160,18755,21580,True
2276,NOK,1975-05-24,19375,12849,14538,1401,False
2277,COP,2009-10-19,9221,11604,9806,6341,True
2278,DKK,2004-10-14,4639,17926,1573,3207,True
2279,BBD,2009-04-20,2514,3444,1922,2525,False
2280,CLP,1974-03-23,9094,10916,7568,19244,True
2281,LTL,1994-07-16,12070,9260,5645,819,True
2282,AED,2000-08-30,18001,17068,13002,13237,False
2283,GIP,2011-04-20,13785,22371,14779,2729,True
2284,BOB,1994-06-15,19192,432,11454,16912,True
2285,AWG,1975-08-11,20237,1415,14363,9502,True
2286,CUC,1989-05-19,20436,20482,21077,4687,True
2287,SZL,1970-12-11,346,883,20100,8891,True
2288,USD,1997-08-30,8583,21983,13268,8366,True
2289,ZMW,2005-02-15,2166,19684,6824,20116,True
2290,BIF,1976-06-30,10914,1739,19508,6551,False
2291,SOS,1992-05-13,18592,4711,22486,9292,True
2292,PLN,1976-06-23,2066,21967,71,8745,True
2293,MRO,2010-08-28,366,6183,15658,18186,True
2294,VEF,2012-12-05,20507,4927,17862,15257,False
2295,NPR,1973-05-20,18765,5261,2676,7692,False
2296,UZS,1978-02-18,3893,5983,20162,20445,True
2297,GEL,2016-10-25,13269,20815,8104,18267,False
2298,WST,2003-09-12,22851,3030,12348,4605,True
2299,NOK,1979-05-18,8941,23474,13119,9369,True
2300,HNL,1982-12-30,20934,8668,20775,23530,True
2301,XAF,1985-01-28,1854,23345,10099,21045,True
2302,ETB,2013-02-05,14010,17439,968,14464,True
2303,CDF,1973-08-18,276,15727,2029,6901,False
2304,RUB,1990-09-25,2573,2090,18668,13445,False
2305,BDT,2022-12-08,23462,11700,10011,9645,True
2306,NIO,1994-09-20,13894,17015,1534,2945,True
2307,GTQ,2022-03-01,15808,19182,18160,8949,True
2308,LRD,1989-11-09,1114,3062,607,966,True
2309,BBD,1998-01-15,21683,16732,11829,824,False
2310,ERN,2004-01-28,20823,20218,14513,12311,True
2311,MVR,2006-06-01,23596,16593,12950,4690,True
2312,KGS,2021-06-04,21591,16099,21109,2113,False
2313,CRC,1985-09-10,14561,19624,21004,9275,True
2314,BYR,1981-01-02,1393,5848,16634,8063,True
2315,MRO,1985-07-26,17666,6674,3498,7549,True
2316,AED,2022-09-25,19234,16266,1688,23336,False
2317,PLN,2001-04-30,4523,6887,20594,12302,True
2318,KRW,2021-03-03,9261,17366,19089,3500,True
2319,TVD,1998-04-21,15128,17437,10742,21275,True
2320,PAB,1982-01-31,7210,23845,13904,3831,True
2321,NGN,1977-10-31,7365,18885,4688,9316,False
2322,SVC,1986-08-20,21784,7315,13274,16415,True
2323,IMP,2001-10-07,397,12495,7831,4174,True
2324,ZWD,2016-08-12,13442,19693,3832,7193,True
2325,XAF,1975-02-20,11702,18086,18586,6512,True
2326,NIS,1988-12-30,11506,1074,5509,11583,True
2327,PEN,1988-12-01,1132,6902,13382,18242,True
2328,RWF,2018-10-03,13341,14737,23279,22829,True
2329,FJD,2022-06-22,940,588,18597,4488,True
2330,CAD,1990-05-30,2431,21375,5417,7929,False
2331,RUB,1978-07-18,21622,16076,3820,10055,True
2332,PHP,2007-02-24,13426,14232,2153,16886,False
2333,PKR,2008-01-14,19170,6454,355,8070,True
2334,BGN,1991-05-11,2808,4110,19143,18573,True
2335,MZN,1973-11-14,4322,7483,12137,23687,True
2336,SVC,2003-02-20,19767,18708,5300,20845,True
2337,AOA,2007-12-31,13000,17785,20244,23767,False
2338,DKK,1972-10-03,18022,11531,645,5974,True
2339,MOP,2016-02-25,15374,18768,13539,3018,True
2340,FJD,2000-05-23,19104,3627,14611,16149,True
2341,CVE,1986-09-13,19101,21458,21467,2817,False
2342,SVC,1979-10-16,17358,21118,21021,18682,False
2343,UGX,1982-10-30,13051,23273,23168,6017,False
2344,XDR,2010-04-15,11214,17724,19281,6102,False
2345,GYD,1993-07-29,14430,15272,21889,23148,True
2346,SZL,1986-01-12,8535,16279,12004,4781,True
2347,ERN,1972-11-07,1014,10458,18110,20650,False
2348,MXN,1970-03-02,6116,21128,10903,2305,True
2349,LKR,2021-11-27,19454,18852,17199,10493,False
2350,IMP,1975-12-28,10741,11019,5194,17230,True
2351,IQD,2005-03-20,22323,21870,15927,1924,False
2352,TZS,1989-10-19,10319,194,6429,5591,True
2353,LSL,2011-01-19,16587,23648,12677,17304,False
2354,DZD,1976-09-09,7484,7887,16098,289,True
2355,ZMW,2015-11-03,23640,21219,452,20563,False
2356,STD,1995-12-20,19943,18229,1884,4022,False
2357,XDR,1990-05-06,16906,19102,10717,10097,True
2358,AWG,1984-09-03,3487,23454,721,17330,True
2359,UGX,2012-05-26,19236,21565,5691,18293,True
2360,BBD,2017-01-29,15722,11844,22769,19307,False
2361,RWF,1986-08-28,1577,15044,2381,21361,False
2362,GYD,2005-03-21,6258,22448,3633,4589,True
2363,LTL,2011-08-06,11503,20542,14271,17094,False
2364,GMD,2017-03-09,17224,13197,13914,10653,False
2365,TWD,2005-06-27,15229,4180,22280,18364,True
2366,BBD,1992-07-03,19871,5384,17519,22868,False
2367,UYU,2020-02-17,1990,22794,15608,7042,False
2368,QAR,1992-08-23,74,19656,2821,16380,True
2369,SHP,2014-04-18,18764,2626,21872,5159,True
2370,ZAR,2015-02-08,19897,14408,16362,8066,False
2371,ETB,1987-06-23,16223,20866,20070,21302,True
2372,PEN,2013-07-11,3512,18860,10894,1195,True
2373,HRK,2013-02-05,12284,9771,15814,19349,False
2374,TZS,2021-03-08,6351,12798,3688,20728,False
2375,SAR,2011-07-08,10668,1647,10315,5582,True
2376,GTQ,1997-01-17,20779,9129,11985,19178,False
2377,GMD,2013-06-17,12106,23461,8129,6734,True
2378,LKR,1992-10-29,15865,19284,1620,5285,True
2379,MNT,2003-11-04,2302,11978,8042,15578,True
2380,NZD,1992-11-16,14510,8305,21076,625,True
2381,TWD,1998-11-07,13695,3235,17352,4803,True
2382,RON,2019-04-11,13611,20212,7150,18658,False
2383,CNY,1985-09-21,2903,6414,5836,16343,False
2384,DZD,2006-12-25,12681,18097,22049,293,True
2385,RON,2014-03-12,16713,14237,12782,21363,True
2386,GHS,1976-02-13,1983,2036,20775,18214,False
2387,BDT,2012-12-23,8871,15541,3075,12498,True
2388,VND,1973-08-25,805,16936,16049,4947,True
2389,COP,1986-04-20,2258,757,1839,10614,True
2390,BIF,1999-12-02,20382,6991,12176,6156,False
2391,CVE,1983-12-25,16611,1423,22918,2856,True
2392,HTG,1991-07-22,16258,23448,13022,2911,False
2393,BAM,1971-01-03,22287,7507,15207,18238,False
2394,MGA,1978-11-22,6004,10691,15511,20867,True
2395,MRO,2019-08-15,13490,1896,1243,4811,True
2396,GIP,1987-01-06,1873,22241,20153,22728,False
2397,AZN,1986-09-20,22896,8990,9177,2490,True
2398,PKR,2021-11-05,7694,13801,20292,8169,False
2399,NOK,1977-11-28,22388,7459,8696,23663,False
2400,GYD,2014-10-07,8757,6740,6127,1451,True
2401,HTG,1971-06-23,13569,4639,526,1866,False
2402,USD,2016-03-09,21016,9044,6618,8792,True
2403,LKR,2015-11-20,9872,21125,3227,4174,True
2404,ANG,2002-10-15,3944,5008,13589,5554,False
2405,XOF,2015-07-10,3688,189,23000,5883,True
2406,PEN,2009-01-28,10281,12350,13484,2376,False
2407,RUB,2016-05-13,2752,3843,7538,5138,True
2408,BHD,1987-06-02,12158,8933,12390,18045,False
2409,CDF,1986-02-06,7763,14636,15293,5099,True
2410,KZT,1971-10-16,16776,10652,3012,16814,True
2411,MNT,1997-12-30,8579,2839,11315,20147,True
2412,BOB,2015-03-10,19673,10995,8718,14098,False
2413,BGN,1981-11-11,1376,10138,20568,12329,True
2414,AMD,1971-03-01,5917,13837,1979,1991,True
2415,GEL,1980-10-04,10570,5931,3615,7791,False
2416,SGD,2016-05-26,661,3259,13338,8958,True
2417,IDR,1973-09-29,19105,5135,15026,23086,True
2418,SYP,1992-07-29,15524,19244,15097,18122,True
2419,CUP,2007-01-06,7735,16228,23598,11419,True
2420,CUP,1973-06-15,14358,3211,4929,21536,True
2421,ZMW,1998-12-19,2935,17345,2880,15239,False
2422,BWP,1983-09-14,5810,10274,1548,1987,True
2423,ILS,2023-04-25,9188,18569,4280,21077,True
2424,GIP,2018-09-01,5568,16276,9642,5756,False
2425,ALL,1976-04-12,4697,17829,19423,4451,True
2426,AZN,2018-11-11,14457,16731,8357,1557,True
2427,SEK,2004-05-16,10645,196,5486,15921,True
2428,JEP,1992-04-27,4924,20940,32,15135,True
2429,GYD,2012-11-20,12986,8710,12574,23182,True
2430,ERN,1991-11-19,14313,12810,8003,20309,False
2431,UAH,1998-09-24,19240,2185,6985,19902,True
2432,UZS,1982-02-04,6185,10868,9633,17640,True
2433,MZN,1998-05-08,1614,12554,21592,1380,True
2434,SHP,1975-06-06,20203,4162,10878,3866,False
2435,TZS,1995-04-08,18049,22896,19448,11333,False
2436,AMD,1987-10-22,15907,13249,19605,22387,True
2437,AWG,2006-09-15,17653,1883,10549,1456,True
2438,GHS,2022-07-19,18943,533,9121,1372,False
2439,NIO,2019-02-09,21945,22993,2304,23236,True
2440,CVE,1998-01-07,19329,855,16600,6906,True
2441,KZT,1988-10-18,19446,22658,15714,17396,True
2442,CUP,1990-11-14,19046,4194,9259,17026,True
2443,MAD,1992-01-06,2157,14085,1901,22857,True
2444,LKR,1991-08-19,8438,16038,10110,22077,True
2445,GMD,2014-03-19,13939,4046,6704,23569,True
2446,KRW,2001-02-09,16770,22023,15723,12083,True
2447,MOP,1981-03-19,8486,16240,796,19432,True
2448,LYD,1982-05-22,939,11897,18135,20639,False
2449,MXN,1988-09-05,15497,15729,23487,11597,False
2450,XPF,1981-10-06,4050,7255,12624,11334,False
2451,SYP,2019-02-02,16120,13966,10139,1545,True
2452,QAR,1974-05-30,11870,22657,20319,5964,False
2453,BIF,2003-08-24,9358,9691,1993,19912,False
2454,HTG,1986-12-12,14854,16137,18572,8344,True
2455,JMD,1976-08-27,6291,17010,5084,6461,True
2456,DKK,1978-10-07,17916,7752,12876,13911,False
2457,INR,1981-03-13,4130,9230,4201,22297,True
2458,TRY,1999-02-12,11065,467,21427,17373,True
2459,GMD,2005-07-05,18377,8790,1300,4268,True
2460,TWD,2006-07-04,9008,13634,7615,10714,False
2461,TOP,1990-06-11,5879,10056,14808,19723,True
2462,IMP,1992-01-17,16988,23763,3484,10518,True
2463,ZAR,1994-05-23,21365,13907,14370,12337,True
2464,SAR,1985-07-03,18696,10719,1952,23631,True
2465,AFN,1976-06-02,3471,16134,13214,2013,True
2466,CDF,1979-03-19,15070,8783,18761,23847,True
2467,THB,1974-07-31,8822,12502,20414,1785,False
2468,UZS,2013-05-22,16195,19156,11239,18521,True
2469,UYU,2007-07-16,21253,1697,9946,6847,False
2470,HKD,1984-08-11,6013,7544,5344,21309,False
2471,MDL,1974-08-17,10960,19732,5347,4018,True
2472,BBD,1976-05-28,21338,11806,15105,1504,True
2473,LTL,1974-11-16,16876,2783,6547,2147,True
2474,GIP,1974-10-06,22710,3207,3016,4192,True
2475,MVR,1982-09-28,17835,17802,11338,1775,False
2476,TOP,1987-12-26,350,17498,19150,8464,False
2477,CUP,1975-03-04,3801,5044,5702,13255,True
2478,ZMW,2020-10-10,6353,22969,21853,23337,True
2479,AUD,1983-08-09,18965,21235,1943,14938,True
2480,BGN,1991-05-28,2695,13715,6613,23463,False
2481,DKK,2007-08-03,8300,5472,18118,14177,True
2482,KZT,1972-02-08,12033,18326,8347,14836,True
2483,SOS,1987-02-22,23368,5613,15433,22534,True
2484,AMD,1972-07-16,13308,12348,13715,22760,False
2485,FKP,2019-02-02,762,5762,21755,17767,True
2486,HUF,2016-11-22,5258,10835,20313,5394,True
2487,CDF,2016-07-25,1788,12548,16543,1645,True
2488,HNL,2009-05-04,9591,16229,3191,19012,True
2489,CZK,2018-07-14,14554,11968,5213,22705,False
